condition,mean,ci_lower,ci_upper
peer,3.30900982082674,3.180938157373846,3.437081484279593
child,3.414131827670703,3.2949790721374597,3.5332845832041935
short,3.371865396949291,3.252577707507049,3.4911530863916127
creative,3.118391846924456,3.0074499563647135,3.2293337374840805
