condition,mean,ci_lower,ci_upper
peer,5.807002410357563,5.438607500719454,6.175397319995715
child,5.501128412529582,5.180839877015233,5.821416948043948
short,5.683980680534478,5.342991891489877,6.024969469578752
creative,6.262354963407421,5.930498562055946,6.594211364758501
