condition,mean,ci_lower,ci_upper
peer,0.7187935113257992,0.7000068603290402,0.7375801623225067
child,0.7028881962403195,0.6861106982008365,0.7196656942797492
short,0.7024044621509107,0.685384421991407,0.7194245023104084
creative,0.7434935671717323,0.7277574202045399,0.7592297141388823
