condition,mean,ci_lower,ci_upper
peer,1807.4387827256005,1518.6665516459848,2096.211013805222
child,2165.101259868712,1860.6063679270428,2469.5961518106487
short,2030.9538439885873,1733.5936514829848,2328.3140364942146
creative,2448.676272636617,2150.859635665541,2746.4929096074975
