"","cue","LgSUBTLWF_mean","Concreteness_mean","AoAinv_mean","Pknown_mean","nlettersinv_mean","R1_max","strength_strat","type","quant_it","x"
"1","residence",3.50746153846154,4.12615384615385,6.11026769230769,0.992481748692308,5.69230769230769,0.54,"high","co","0.5",4.13747176035813
"2","pony",3.24017391304348,4.18521739130435,8.14518217391304,0.993852193608696,4.91304347826087,0.555555556,"high","co","0.5",4.06817185275356
"3","vehicle",3.07829411764706,4.19647058823529,6.06176470588235,0.991666055352941,7.47058823529412,0.77,"high","co","0.5",3.63822398675854
"4","knapsack",3.11563636363636,4.05772727272727,8.57294477272727,0.993956471772727,4.81818181818182,0.517241379,"high","co","0.5",3.55637580709329
"5","umbrella",3.27883333333333,4.21333333333333,6.3625,0.9964324355,5.33333333333333,0.58,"high","co","0.5",3.2393916379784
"6","ponytail",3.08044,3.93,7.6072,0.99200449036,5.88,0.61,"high","co","0.5",3.20295864518947
"7","cafe",3.27416,4.0256,7.34652452,0.99419211584,4.52,0.545454545,"high","co","0.5",3.04591641070824
"8","drown",3.548,4.05333333333333,5.44111111111111,0.996341061166667,4.5,0.53,"high","co","0.5",2.82715183576765
"9","circulation",3.40905263157895,4.1,5.40473684210526,0.996864847368421,5.05263157894737,0.626262626,"high","co","0.5",2.67627370240347
"10","salmon",3.141,3.96846153846154,5.3,0.994975055615385,6.76923076923077,0.755102041,"high","co","0.5",2.4256955643951
"11","brimstone",3.06680952380952,4.19,7.09333333333333,0.991674885190476,4.47619047619048,0.553191489,"high","co","0.5",2.22131419949542
"12","plaything",3.197,3.98045454545455,6.307025,0.996985865772727,4.5,0.597938144,"high","co","0.5",1.83215745231868
"13","stethoscope",3.32170588235294,3.96411764705882,5.17764705882353,0.994675489352941,4.82352941176471,0.656565657,"high","co","0.5",1.72017285876677
"14","barracuda",3.26133333333333,4.11541666666667,5.26681166666667,0.995927292583333,4.70833333333333,0.576086957,"high","co","0.5",1.71541276628331
"15","teller",3.06959090909091,4.07181818181818,5.18658113636364,0.9958759795,5.13636363636364,0.525773196,"high","co","0.5",1.05247388827831
