"","cue","LgSUBTLWF_mean","Concreteness_mean","AoAinv_mean","Pknown_mean","nlettersinv_mean","R1_max","strength_strat","type","quant_it","x"
"1","residence",3.50746153846154,4.12615384615385,6.11026769230769,0.992481748692308,5.69230769230769,0.54,"high","co","0.5",4.13676264442106
"2","pony",3.24017391304348,4.18521739130435,8.14518217391304,0.993852193608696,4.91304347826087,0.555555556,"high","co","0.5",4.06824141065394
"3","vehicle",3.07829411764706,4.19647058823529,6.06176470588235,0.991666055352941,7.47058823529412,0.77,"high","co","0.5",3.637749525362
"4","knapsack",3.11563636363636,4.05772727272727,8.57294477272727,0.993956471772727,4.81818181818182,0.517241379,"high","co","0.5",3.55661923923428
"5","umbrella",3.27883333333333,4.21333333333333,6.3625,0.9964324355,5.33333333333333,0.58,"high","co","0.5",3.23884598862464
"6","ponytail",3.08044,3.93,7.6072,0.99200449036,5.88,0.61,"high","co","0.5",3.20291258790128
"7","cafe",3.27416,4.0256,7.34652452,0.99419211584,4.52,0.545454545,"high","co","0.5",3.04565340971023
"8","drown",3.548,4.05333333333333,5.44111111111111,0.996341061166667,4.5,0.53,"high","co","0.5",2.82612422391651
"9","circulation",3.40905263157895,4.1,5.40473684210526,0.996864847368421,5.05263157894737,0.626262626,"high","co","0.5",2.67531667505014
"10","salmon",3.141,3.96846153846154,5.3,0.994975055615385,6.76923076923077,0.755102041,"high","co","0.5",2.42486709264032
"11","brimstone",3.06680952380952,4.19,7.09333333333333,0.991674885190476,4.47619047619048,0.553191489,"high","co","0.5",2.22105515399603
"12","plaything",3.197,3.98045454545455,6.307025,0.996985865772727,4.5,0.597938144,"high","co","0.5",1.83155031679672
"13","stethoscope",3.32170588235294,3.96411764705882,5.17764705882353,0.994675489352941,4.82352941176471,0.656565657,"high","co","0.5",1.71913864251941
"14","barracuda",3.26133333333333,4.11541666666667,5.26681166666667,0.995927292583333,4.70833333333333,0.576086957,"high","co","0.5",1.7144448756428
