"","CUE","Nletters","Lg10WF","AoA_Kup_lem"
"1","a",-0.173530673530673,0.221437661783225,-0.371108253217503
"2","a lot",-0.16743212900592,0.0469260134150904,-0.404672556133905
"3","after",0.0835652237036317,0.185086931682112,-0.320128266194014
"4","airplane",-0.527073625349487,0.076557994135364,-0.567286854310345
"5","all",0.424636313024957,0.142543648159374,-0.149947690097548
"6","all gone",-0.443120973514675,0.22275301436538,-0.58638879043665
"7","alligator",0.184436274509804,-0.0379808826352086,-0.213355966299019
"8","am",-0.33758391367087,0.217859883987067,-0.162852263614405
"9","and",-0.00986562121172962,0.0781177070585333,-0.0657654310825109
"10","animal",-0.334810691953549,0.122984880336728,-0.490345481996839
"11","ankle",-0.574818401937046,0.148022877010064,-0.832700198062954
"12","another",0.0887840075119231,-0.0420204933020942,0.0752641513874819
"13","ant",-0.154830851259423,0.0221488595161405,-0.262111050652694
"14","any",-0.172066029208886,0.155458053716175,-0.229847055325627
"15","apple",0.194462502902253,0.0953591130645814,-0.360825258637102
"16","applesauce",-0.205386763407241,-0.0415623019738618,-0.285667979689253
"17","are",-0.48035205011922,0.249705226815307,-0.138908726120903
"18","arm",-0.0654014667501208,0.178354288335268,-0.68671312326842
"19","around",0.115684455919586,-0.0999449737002891,-0.0964007157646707
"20","asleep",-0.112373115206465,0.116245824137869,-0.394335874815217
"21","at",0.0397041982407833,0.155320639615335,-0.294585280353792
"22","aunt",-0.00665018832391695,0.16195228371318,-0.241574566772599
"23","awake",-0.270833333333334,0.316957488826368,-0.761492340277778
"24","away",-0.0643441166014931,0.10478838736973,-0.114719751925583
"25","baa baa",-0.0602696272799363,0.0573223530561413,-0.44055225788301
"26","baby",-0.057815598911489,0.333083393227779,-0.068257122872561
"27","back",0.0603711449244013,0.129145246303698,-0.247062952080479
"28","backyard",-0.0878995433789953,0.2657227448147,-0.597797279252283
"29","bad",-0.300154738878144,-0.0689011213776265,-0.732721634945197
"30","ball",-0.240501672240803,0.114680226385448,-0.109187759476032
"31","balloon",0.00438141358238209,0.130837843235274,-0.625079976536377
"32","banana",-0.151798863875448,0.129094963293828,-0.470799702538748
"33","basket",-0.15151597405065,0.184452924723211,-0.699509054830216
"34","bat",-0.083369628339141,0.0346321266897469,-0.0597928212954901
"35","bath",0.0498632442667795,0.0748508991419552,-0.280233988182902
